Product Name,Units Sold
applaws-cat-loin-tuna-treat,181
optimum-furball-dry-cat-food-chicken,180
royal-canin-veterinary-urinary-so-dry-dog-food,180
hills-science-diet-adult-dry-dog-food,179
royal-canin-fit-adult-dry-cat-food,178
simparica-trio-very-small,177
revolution-plus-green-large-cat,177
hills-science-diet-adult-perfect-weight-dry-cat-food,177
fancy-feast-grilled-chicken-in-gravy-wet-cat-food,176
natures-cuts-chunky-liver-dog-treats,176
royal-canin-german-shepherd-adult-dry-dog-food,176
hills-prescription-diet-id-low-fat-digestive-care-dry-dog-food,174
royal-canin-urinary-care-dry-cat-food,173
dine-creamy-treats-tuna-and-prawn,173
black-hawk-lamb-and-rice-small-breed-dry-dog-food,172
optimum-adult-lamb-and-rice-wet-dog-food,172
fancy-feast-royale-virgin-flaked-tuna,172
pedigree-dentastix-daily-dental-medium-dog-treats,172
fancy-feast-savoury-salmon-pate-wet-cat-food,172
advance-adult-sensitive-all-breed-chicken-and-rice-wet-dog-food-cans,171
nexgard-large,171
hills-prescription-diet-id-low-fat-digestive-care-canned-dog-food,170
hills-prescription-diet-id-digestive-care-dry-cat-food,170
royal-canin-medium-digestive-care-adult-dry-dog-food,169
hills-prescription-diet-metabolic-weight-management-dry-cat-food,169
hills-prescription-diet-metabolic-weight-loss-and-maintenance-dry-dog-food,168
ziwi-peak-air-dried-chicken-recipe-dry-dog-food,168
felix-wet-cat-food-adult-sensations-jellies-fishy-selection-pouches,167
royal-canin-ageing-12-plus-gravy-senior-wet-cat-food-pouches,167
catsan-crystals,167
royal-canin-medium-puppy-dry-dog-food,167
hills-prescription-diet-zd-skin-and-food-sensitivities-canned-dog-food,166
applaws-wet-cat-food-adult-tuna-prawn-tin,166
glyde-mobility-chews,166
royal-canin-lightweight-care-adult-dry-cat-food,166
royal-canin-veterinary-satiety-dry-cat-food,166
paw-and-spoon-chunky-chicken-wet-cat-food,166
royal-canin-light-weight-care-gravy-wet-cat-food-pouches,166
dentalife-daily-oral-care-small-medium-dog-treats,165
black-hawk-dry-cat-food-adult-chicken-and-rice,165
ziwi-peak-air-dried-mackerel-and-lamb-recipe-dry-dog-food,165
hills-science-diet-adult-oral-care-dry-dog-food,164
dine-multipack-classic-collection-cuts-in-gravy-beef-selection-wet-cat-food-tray,163
trouble-and-trix-natural-pellets-clumping-cat-litter-cherry-blossom,163
malaseb-medicated-shampoo,162
supercoat-smartblend-dry-dog-food-adult-beef,162
love-em-air-dried-beef-liver,161
prozym-rf2-dental-sticks,161
nexgard-medium,161
epiotic-sis-earcleanser-for-dogs,160
natures-cuts-beef-chews-dog-treats,160
petkit-5-in-1-active-carbon-mixed-tofu-litter,160
compost-a-pak-dog-waste-bags,160
hills-science-diet-adult-sensitive-stomach-and-skin-dry-cat-food,159
paw-blackmores-digesticare,159
natures-cuts-pig-ear-strips-training-treat,159
inaba-churu-pops-chicken,159
feline-first-pine-litter,158
temptations-seafood-medley-cat-treats,158
advance-adult-tender-chicken-wet-cat-food-trays,158
royal-canin-veterinary-diabetic-wet-cat-food-pouches,157
nexgard-small,157
hills-prescription-diet-id-digestive-care-chicken-flavour-dry-dog-food,157
inaba-churu-chicken-with-shrimp-recipe,156
aloveen-shampoo,155
hills-prescription-diet-cd-multicare-chicken-cat-food-pouches,155
michu-natural-clumping-tofu-cat-litter-ocean-fresh,154
hills-prescription-diet-td-small-bites-dental-care-dry-dog-food,153
advocate-dog-medium-aqua,153
blackdog-duck-jerky,153
dine-creamy-treats-tuna-salmon-flavour,151
dine-multipack-classic-collection-slices-with-succlent-chicken-plus-cuts-in-gravy-with-beef-and-liver-wet-cat-food-tay,151
paw-and-spoon-chicken-wet-cat-food,150
ivory-coat-grain-free-dry-dog-food-lamb-and-kangaroo,150
royal-canin-mother-and-baby-stage-2-wet-cat-food-trays,150
hills-science-diet-adult-chicken-cat-food-pouches,150
fancy-feast-royale-tuna-banquet-with-prawns,149
advance-adult-dry-cat-food-chicken-with-rice,148
royal-canin-kitten-instinctive-jelly-wet-cat-food-pouches,148
dine-poultry-selection-slices-turkey-and-chicken-wet-cat-food,147
fancy-feast-royale-tuna-and-shrimp,145
dine-multipack-classic-collection-in-gravy-mixed-selection-wet-cat-food-pouches,145
michu-natural-clumping-tofu-cat-litter-watermelon,145
hills-science-diet-adult-large-breed-dry-dog-food,145
royal-canin-hair-and-skin-jelly-wet-cat-food-pouches,144
royal-canin-indoor-7-plus-adult-dry-cat-food,144
temptations-hearty-beef-cat-treats,144
blackdog-bully-sticks,143
hills-science-diet-adult-perfect-weight-dry-dog-food,143
drontal-dog-allwormer-chewable-35kg,143
advance-medium-adult-dry-dog-food-lamb-with-rice,141
optimum-adult-kangaroo-and-vegetables-wet-dog-food,140
supercoat-smartblend-dry-dog-food-healthy-weight-with-chicken,140
fancy-feast-adult-petite-delights-salmon-tuna-and-chicken-grilled-wet-cat-food,140
paw-and-spoon-salmon-and-chicken-wet-cat-food,140
felix-wet-cat-food-adult-doubly-delicious-meat-selection-pouches,139
fancy-feast-classics-creamy-delights-pate-poultry-and-grilled-seafood-variety,137
aloveen-conditioner,137
bravecto-spot-on-for-cats-blue,137
blackdog-pigs-ears,137
fancy-feast-grilled-tuna-in-gravy-wet-cat-food,136
cen-grain-free-complete-horse-feed,136
fancy-feast-savoury-centers-pate-tuna-gourmet-gravy-wet-cat-food,136
dine-classic-collection-slices-with-succulent-chicken-wet-cat-food-tray,136
royal-canin-medium-adult-dental-care-dry-dog-food,136
optimum-adult-weight-management-chicken-and-rice-cans-wet-dog-food,136
ivory-coat-grain-free-dry-dog-food-adult-chicken-with-coconut-oil,135
hills-science-diet-adult-ocean-fish-cat-food-pouches,135
zodiac-fruity-tofu-cat-litter-peach,134
peters-oaten-hay,134
felix-wet-cat-food-adult-meat-menus-pouches,133
advance-adult-chicken-salmon-and-rice-wet-dog-food-cans,133
royal-canin-cavalier-king-charles-adult-dry-dog-food,133
blackdog-sweet-potato-slice,132
advance-multi-cat-dry-cat-food-salmon-and-chicken-with-rice,132
inaba-churu-tuna-with-salmon-recipe,132
chuckit-ultra-ball-2-pack,131
rufus-and-coco-wee-kitty-eco-plant-clumping-litter,131
royal-canin-maxi-puppy-dry-dog-food,131
advocate-cat-small-orange,131
advance-kitten-salmon-and-chicken-medley-wet-cat-food-trays,131
applaws-wet-cat-food-adult-multipack-fish-deluxe-tin,130
advance-adult-chicken-and-salmon-medley-wet-cat-food-trays,130
royal-canin-sensible-adult-dry-cat-food,130
paws-for-life-bolster-mat-grey,129
black-hawk-grain-free-dry-dog-food-adult-chicken,129
fancy-feast-medleys-white-meat-chicken-florentine-wet-cat-food,129
royal-canin-veterinary-renal-dry-cat-food,128
applaws-wet-cat-food-adult-tuna-tin,128
fuzzyard-poop-bags-compostable,128
fancy-feast-medleys-wild-salmon-florentine-wet-cat-food,127
hills-science-diet-senior-7-plus-dry-dog-food,127
fancy-feast-royale-whitemeat-tuna-affair,127
advocate-dog-large-red,127
fancy-feast-dry-cat-food-tuna-prawn-mackerel-and-crab-flavour,127
hills-prescription-diet-cd-urinary-stress-wet-cat-food-pouches,127
optimum-adult-large-breed-dry-dog-food-chicken-vegetables-and-rice,126
hills-prescription-diet-zd-skin-food-sensitivities-original-flavour-dry-cat-food,126
advance-large-puppy-dry-dog-food-chicken-with-rice,126
kong-toy-puppy,126
inaba-churu-tuna-with-chicken-recipe,126
dine-desire-with-pure-tuna-whitemeat-wet-cat-food-can,126
bravecto-spot-on-for-dogs-orange,126
fancy-feast-grilled-ocean-whitefish-and-tuna-in-gravy-wet-cat-food,126
inaba-churu-tuna-recipe,125
hills-science-diet-adult-small-bites-dry-dog-food,125
dine-desire-with-succulent-tuna-whitemeat-and-snapper-wet-cat-food-can,125
the-curious-chewer-dog-box,125
zodiac-fruity-tofu-cat-litter-green-tea,125
paws-for-life-interactive-treat-ball,125
hills-science-diet-adult-beef-cat-food-pouches,124
ivory-coat-grain-free-dry-dog-food-senior-adult-turkey,124
felix-as-good-as-it-looks-doubly-delicious-fish-selection-in-jelly-wet-cat-food-pouches,124
royal-canin-british-shorthair-adult-dry-cat-food,124
fussy-cat-grain-free-dry-cat-food-adult-salmon-and-whitefish-with-olive-oil,124
purina-one-adult-hairball-chicken-wet-cat-food,124
black-hawk-grain-free-adult-chicken-wet-dog-food-can,124
fancy-feast-gravy-lovers-chicken-wet-cat-food,123
blackdog-chicken-meat-balls,123
ziwi-peak-air-dried-beef-recipe-dry-dog-food,123
instinctive-bite-grain-free-adult-dry-dog-food-chicken-sweet-potato,123
schmackos-marrobones-crunchy-dog-treats,123
royal-canin-digestive-care-loaf-adult-wet-dog-food-pouches,123
taste-of-the-wild-high-prairie-bison-venison,123
advance-small-adult-dry-dog-food-chicken-with-rice,122
inaba-churu-skin-and-coat-tuna-with-scallop-recipe,122
royal-canin-miniature-schnauzer-adult-dry-dog-food,122
optimum-adult-wet-dog-food-beef-and-rice-cans,121
paw-and-spoon-chicken-and-cheddar-cheese-wet-cat-food,121
ziwi-peak-air-dried-lamb-recipe-dry-dog-food,120
rufus-and-coco-wee-kitty-bio-elasticised-litter-tray-liners,120
felix-wet-cat-food-adult-ocean-menu-pouches,120
oz-pet-animal-pine-wood-litter,120
natures-cuts-liver-training-treats,119
royal-canin-mini-adult-dental-care-dry-dog-food,119
hypro-premium-dry-dog-food-adult-kangaroo-and-lamb-grain-free,119
applaws-wet-cat-food-adult-tuna-jelly-pouch,118
royal-canin-veterinary-early-renal-wet-cat-food-pouches,118
inaba-grilled-tuna-fillet-extra-tender-in-tuna-broth,118
advance-kitten-tender-chicken-wet-cat-food-trays,117
dine-fine-flakes-tuna-and-prawns-wet-cat-food-pouch,117
fancy-feast-inspirations-tuna-beef-variety-pack,117
fancy-feast-medleys-white-meat-chicken-tuscany-wet-cat-food,116
harmony-lorikeet-and-honeyeater-mix,116
fancy-feast-delights-with-cheddar-chicken-wet-cat-food,116
royal-canin-veterinary-dental-small-dry-dog-food,116
hills-science-diet-adult-healthy-mobility-large-breed-dry-dog-food,115
cature-tofu-cat-litter-green-tea,115
royal-canin-sensory-feel-gravy-wet-cat-food,115
inaba-churu-chicken-with-cheese-recipe,114
kit-cat-litter-clumping-bentonite-sakura,114
royal-canin-adult-instinctive-7-plus-gravy-wet-cat-food-pouches,113
hills-prescription-diet-cd-multicare-urinary-care-dry-dog-food,113
hills-prescription-diet-gastrointestinal-biome-digestive-fibre-care-chicken-vegetable-stew-canned-wet-cat-food,113
purina-one-adult-ocean-fish-wet-cat-food,112
hills-science-diet-senior-11-plus-dry-cat-food,112
dine-creamy-treats-tuna-flavour,112
fancy-feast-grilled-liver-and-chicken-in-gravy-wet-cat-food,112
fancy-feast-medleys-tuna-tuscany-wet-cat-food,112
black-hawk-dry-dog-food-puppy-large-breed-original-lamb-and-rice,111
paragard-allwormer-dog-red,110
royal-canin-medium-adult-wet-dog-food-pouches,109
supercoat-smartblend-dry-dog-food-adult-sensitive-fish,109
royal-canin-veterinary-satiety-pouches-wet-cat-food,108
royal-canin-veterinary-diet-feline-anallergenic-dry-food,108
paw-and-spoon-tuna-wet-cat-food,108
applaws-tuna-with-salmon-adult-wet-cat-food,108
eukanuba-senior-large-breed-dry-dog-food,108
pro-plan-adult-sensitive-chicken-gravy-wet-cat-food-pouches,108
black-hawk-grain-free-dry-cat-food-adult-chicken-and-turkey,107
love-em-liver-pup-rewards,107
tropiclean-oral-care-water-additive,107
open-farm-harvest-chicken-bone-broth-meal-topper,107
royal-canin-veterinary-diet-feline-sensitivity-control-dry-food,107
royal-canin-indoor-7-plus-adult-gravy-wet-cat-food-pouches,107
temptations-tempting-tuna-cat-treats,106
royal-canin-cocker-spaniel-adult-dry-dog-food,106
fancy-feast-grilled-turkey-in-gravy-wet-cat-food,106
advance-medium-puppy-dry-dog-food-chicken-with-rice,106
vella-free-range-scratch-mix,106
milpro-for-dogs,105
dine-creamy-treats-mixed-seafood,105
bravecto-spot-on-for-dogs-blue,104
hills-prescription-diet-derm-complete-adult-dry-dog-food,103
advance-adult-delicate-tuna-wet-cat-food-trays,103
peters-free-range-poultry-mix,103
black-hawk-grain-free-adult-lamb-wet-dog-food-can,103
barastoc-golden-yolk,103
ivory-coat-holistic-nutrition-dry-dog-food-large-breed-adult-turkey-and-brown-rice,103
royal-canin-pug-adult-dry-dog-food,103
paws-for-life-bowl,102
applaws-wet-cat-food-adult-multipack-chicken-selection-in-broth-tin,102
catsan-lavendar-crystal-cat-litter,102
whimzees-toothbrush-dental-dog-treats,100
vitapet-jerhigh-chicken-tenders,100
advance-puppy-plus-growth-chicken-and-rice-wet-dog-food-cans,100
vitapet-soft-chicken-tenders,100
hills-science-diet-adult-urinary-hairball-control-dry-cat-food,100
natures-cuts-kangaroo-liver,100
absolute-holistic-bisque-tuna-and-lobster,100
advance-kitten-dry-cat-food-chicken-with-rice,99
black-hawk-grain-free-adult-beef-wet-dog-food-can,99
beco-unscented-poop-bags,99
black-hawk-grain-free-adult-chicken-wet-dog-food-tray,98
black-hawk-healthy-benefits-sensitive-skin-and-gut-dry-dog-food,98
fancy-feast-gravy-lovers-whitefish-and-tuna-wet-cat-food,98
neovet-flea-and-worming-for-cats,98
ziwi-peak-air-dried-chicken-recipe-dry-cat-food,98
prime-pantry-jerky-treats-chicken,97
fancy-feast-classics-creamy-delights-pate-chicken,97
savourlife-grain-free-adult-sensitive-with-australian-ocean-fish-poultry-free-dry-dog-food,97
chuckit-ball-ultra-squeaker,97
dine-classic-collection-slices-with-tender-turkey-wet-cat-food-tray,97
royal-canin-veterinary-renal-wet-dog-food-cans,96
drontal-dog-allwormer-tablet-10kg,96
advance-adult-small-oodles-dry-dog-food,96
ziwi-peak-wet-cat-food-venison,96
fancy-feast-grilled-salmon-in-gravy-wet-cat-food,96
royal-canin-british-shorthair-wet-cat-food-pouches,95
savourlife-training-treats-kangaroo,95
catit-triple-action-fountain-filter,95
cature-tofu-cat-litter-milky,95
inaba-churu-bites-chicken-wraps-chicken-recipe,95
fancy-feast-royale-broths-tuna-surimi-and-whitebait-in-a-decadent-silky-broth-wet-cat-food,95
zodiac-fruity-tofu-cat-litter-original,94
royal-canin-veterinary-diet-urinary-moderate-calorie-so-dry-cat-food,94
royal-canin-veterinary-mobility-support-c2p-plus-dry-dog-food,94
royal-canin-mini-ageing-12-plus-senior-wet-dog-food-pouches,94
royal-canin-bulldog-adult-dry-dog-food,94
paws-for-life-4-in-1-cat-scratcher-replacement,94
advance-adult-chicken-turkey-and-rice-wet-dog-food-cans,94
dog-rocks,94
hills-science-diet-adult-large-breed-light-dry-dog-food,93
eukanuba-senior-medium-breed-dry-dog-food,93
paragard-allwormer-dog-green,92
applaws-wet-cat-food-adult-multipack-cuisine-selection-in-broth-tin,92
kong-classic-red,92
vitapet-jerhigh-bbq-chickenchaser,92
pro-plan-wet-cat-food-senior-11-plus-salmon-tuna,91
savourlife-kangaroo-strip-dog-treats,91
royal-canin-ageing-12-plus-jelly-senior-wet-cat-food-pouches,91
natures-cuts-shark-cartilage,91
royal-canin-veterinary-satiety-small-dog-dry-dog-food,90
advance-adult-weight-control-chicken-and-rice-wet-dog-food-cans,90
fussy-cat-grain-free-dry-cat-food-adult-chicken-and-turkey-with-cranberry,90
instinctive-bite-bone-broth-liquid-concentrate,90
hills-prescription-diet-kd-kidney-care-chicken-and-vegetable-stew-canned-cat-food,90
cats-best-original-cat-litter,90
advance-healthy-ageing-large-adult-dry-dog-food-chicken-with-rice,90
hills-science-diet-small-paws-dry-dog-food,89
advance-kitten-lamb-in-gravy-wet-cat-food-pouches,89
dine-melting-soup-tuna-and-chicken-wet-cat-food-pouch,88
feline-natural-lamb-and-salmon-freeze-dried-cat-food,88
black-hawk-healthy-benefits-weight-management-dry-dog-food,88
natural-animal-solutions-omega-oil-for-dog-and-horse,88
supercoat-smartblend-dry-dog-food-puppy-chicken,88
stockman-and-paddock-high-performance-working-dry-dog-food,88
torwood-farms-mini-oaten-bale,88
royal-canin-giant-adult-dry-dog-food,88
hills-science-diet-senior-7-plus-savory-stew-beef-and-vegetables-canned-dog-food,88
feliway-diffuser,88
harmony-sunflower-seeds,88
royal-canin-rottweiler-adult-dry-dog-food,88
open-farm-grass-fed-beef-bone-broth-meal-topper,87
advance-adult-casserole-with-chicken-wet-dog-food-cans,87
applaws-wet-cat-food-adult-chicken-tin,87
dine-classic-collection-cuts-in-gravy-with-lamb-wet-cat-food-tray,87
advance-adult-ocean-fish-in-jelly-wet-cat-food-pouches,87
royal-canin-chihuahua-adult-dry-dog-food,87
purina-one-adult-chicken-wet-cat-food,87
fancy-feast-gravy-lovers-beef-wet-cat-food,87
coprice-maxs-cat-and-pet-litter,87
blackdog-chicken-discs,87
hills-science-diet-adult-chicken-and-barley-entree-canned-dog-food,87
black-hawk-grain-free-dry-dog-food-adult-lamb,86
royal-canin-maxi-ageing-8-plus-senior-dry-dog-food,86
fancy-feast-inspirations-lamb-in-gravy-and-beef-in-gravy-wet-cat-food,86
mini-hemp-bedding-ozhemp-mini-pack,86
fancy-feast-puree-kiss-tuna-puree-with-tuna-flakes-treats,86
peters-wild-bird-seed-large-birds,86
blackdog-liver-balls,86
kong-extreme-black,86
hypro-premium-dry-dog-food-adult-ocean-fish-grain-free,86
royal-canin-labrador-retriever-puppy-dry-dog-food,86
royal-canin-light-weight-care-jelly-wet-cat-food-pouches,86
inaba-churu-pops-tuna,86
whiskas-1-plus-mixed-favourites-in-jelly-pouches-wet-cat-food,86
fancy-feast-classics-creamy-delights-pate-salmon,85
zodiac-pet-wipes-100-packs-unscented,85
inaba-churu-skin-and-coat-tuna-recipe,84
sentinel-spectrum-chews-large-blue,84
drontal-puppy-suspension,84
nexgard-spectra-spot-on-for-large-cats-yellow,84
inaba-churu-tuna-with-scallop-recipe,84
temptations-creamy-dairy-cat-treats,84
advance-adult-succulent-turkey-wet-cat-food-trays,84
royal-canin-exigent-savour-adult-dry-cat-food,84
hills-science-diet-adult-urinary-hairball-control-ocean-fish-cat-food-pouches,83
royal-canin-boxer-adult-dry-dog-food,83
optimum-mature-chicken-veges-rice,83
black-hawk-dry-dog-food-adult-working-dog-lamb-and-beef,83
