Page ID,Name,Views,Clicks,Purchase Rate
dog>health>probiotics,All / Dog / Health / Probiotics,223,116,0.41
fish>filters-and-media,All / Fish / Filters And Media,222,97,0.32
dog>food>royal-canin,All / Dog / Food / Royal Canin,222,66,0.27
revolution,All / Revolution,216,102,0.46
whimzees,All / Whimzees,214,135,0.52
paw-blackmores,All / Paw Blackmores,212,67,0.26
fish>water-care,All / Fish / Water Care,202,75,0.3
lickimat,All / Lickimat,201,84,0.38
cat>food>premium,All / Cat / Food / Premium,201,79,0.36
furminator,All / Furminator,199,43,0.24
whiskas,All / Whiskas,199,34,0.17
rogz,All / Rogz,199,91,0.36
dog>feeding>water-fountains,All / Dog / Feeding / Water Fountains,197,109,0.4
chuckit,All / Chuckit,194,94,0.41
cat>flea-and-worming>advocate,All / Cat / Flea And Worming / Advocate,193,76,0.37
dog>flea-and-worming>intestinal-worms,All / Dog / Flea And Worming / Intestinal Worms,191,60,0.26
dog>treats>biscuits,All / Dog / Treats / Biscuits,190,65,0.31
sentinel,All / Sentinel,188,70,0.38
vetalogica,All / Vetalogica,187,84,0.39
dog>training-and-clean-up>training-pads-and-nappies,All / Dog / Training And Clean Up / Training Pads And Nappies,185,91,0.34
vetafarm,All / Vetafarm,184,41,0.16
blackdog,All / Blackdog,183,62,0.26
bird>food>wild-bird-food,All / Bird / Food / Wild Bird Food,179,45,0.2
paw-and-spoon,All / Paw And Spoon,177,59,0.26
bird>food,All / Bird / Food,177,40,0.21
petkit,All / Petkit,174,68,0.37
zignature,All / Zignature,173,93,0.46
catit,All / Catit,172,76,0.38
dog>beds>cushions-and-mats,All / Dog / Beds / Cushions And Mats,168,72,0.34
michu,All / Michu,165,52,0.29
my-dog,All / My Dog,164,40,0.23
dog>grooming>brushes-and-combs,All / Dog / Grooming / Brushes And Combs,161,79,0.37
dog>flea-and-worming>tapeworms,All / Dog / Flea And Worming / Tapeworms,161,84,0.4
eukanuba,All / Eukanuba,161,58,0.38
west-paw,All / West Paw,161,63,0.3
dog>beds>elevated-beds,All / Dog / Beds / Elevated Beds,161,73,0.42
cat>feeding>bowls,All / Cat / Feeding / Bowls,159,46,0.23
bird>feeding-accessories,All / Bird / Feeding Accessories,159,83,0.37
dog>collars-and-leads>leads,All / Dog / Collars And Leads / Leads,158,87,0.29
cat>house-and-travel>carriers,All / Cat / House And Travel / Carriers,157,50,0.24
dog>toys>ball-throwers,All / Dog / Toys / Ball Throwers,153,53,0.26
vitapet,All / Vitapet,150,31,0.17
petz-park,All / Petz Park,149,80,0.48
bird>cages-and-accessories,All / Bird / Cages And Accessories,149,45,0.22
purina-one,All / Purina One,144,48,0.26
aloveen,All / Aloveen,144,51,0.33
dog>house-and-travel>car-seats,All / Dog / House And Travel / Car Seats,142,25,0.09
cat>litter-and-accessories>crystal,All / Cat / Litter And Accessories / Crystal,140,43,0.27
dog>beds>cooling,All / Dog / Beds / Cooling,138,65,0.4
trouble-and-trix,All / Trouble And Trix,137,57,0.36
cat>beds>window-beds,All / Cat / Beds / Window Beds,137,79,0.39
fish>cleaning-and-maintenance,All / Fish / Cleaning And Maintenance,136,42,0.27
catmate,All / Catmate,136,39,0.26
cat>litter-and-accessories>paper,All / Cat / Litter And Accessories / Paper,135,26,0.19
seresto,All / Seresto,135,72,0.52
bird>food>parrot-food,All / Bird / Food / Parrot Food,131,57,0.37
reptile>habitats-and-habitat-accessories,All / Reptile / Habitats And Habitat Accessories,130,58,0.3
fussy-cat,All / Fussy Cat,129,30,0.22
dog>collars-and-leads>puppy,All / Dog / Collars And Leads / Puppy,129,67,0.37
horse>health,All / Horse / Health,128,40,0.22
dog>flea-and-worming>heartworms,All / Dog / Flea And Worming / Heartworms,128,67,0.37
bird>health-and-grooming,All / Bird / Health And Grooming,127,86,0.36
horse>food,All / Horse / Food,125,38,0.24
dog>grooming>shampoo-and-conditioner,All / Dog / Grooming / Shampoo And Conditioner,124,41,0.28
dog>feeding>food-storage,All / Dog / Feeding / Food Storage,123,0,0
cat>food>grain-free,All / Cat / Food / Grain Free,122,41,0.2
dog>treats>puppy,All / Dog / Treats / Puppy,119,52,0.34
dog>beds>bolster-beds,All / Dog / Beds / Bolster Beds,119,51,0.41
all-for-paws,All / All For Paws,116,33,0.23
dog>feeding>feeding-and-lick-mats,All / Dog / Feeding / Feeding And Lick Mats,114,68,0.48
wag,All / Wag,113,42,0.3
puppia,All / Puppia,105,56,0.43
dog>toys>soft-toys,All / Dog / Toys / Soft Toys,105,36,0.23
hypro-premium,All / Hypro Premium,104,37,0.35
balanced-life,All / Balanced Life,103,25,0.25
dog>health>vitamins-and-supplements,All / Dog / Health / Vitamins And Supplements,102,48,0.41
worlds-best-cat-litter,All / Worlds Best Cat Litter,102,36,0.32
cat>grooming>brushes-and-combs,All / Cat / Grooming / Brushes And Combs,101,54,0.41
absolute-holistic,All / Absolute Holistic,101,42,0.32
paragard,All / Paragard,100,78,0.71
nylabone,All / Nylabone,100,73,0.47
dog>flea-and-worming>drontal,All / Dog / Flea And Worming / Drontal,99,54,0.6
fish>heating-and-lighting,All / Fish / Heating And Lighting,97,24,0.14
rufus-and-coco,All / Rufus And Coco,96,30,0.28
zodiac,All / Zodiac,95,33,0.34
dog>collars-and-leads>walking-accessories,All / Dog / Collars And Leads / Walking Accessories,94,40,0.35
advantage,All / Advantage,94,40,0.42
dog>flea-and-worming>tablets,All / Dog / Flea And Worming / Tablets,94,36,0.34
cat>litter-and-accessories>wood,All / Cat / Litter And Accessories / Wood,94,25,0.25
frontline,All / Frontline,93,35,0.4
dog>feeding>food-dispensers,All / Dog / Feeding / Food Dispensers,93,60,0.43
dog>health>skin-care,All / Dog / Health / Skin Care,93,48,0.34
fish>pumps,All / Fish / Pumps,93,17,0.15
dog>grooming>wipes,All / Dog / Grooming / Wipes,92,57,0.43
dog>training-and-clean-up>stain-and-odour-removers,All / Dog / Training And Clean Up / Stain And Odour Removers,92,54,0.31
dog>flea-and-worming>simparica-trio,All / Dog / Flea And Worming / Simparica Trio,92,40,0.48
love-em,All / Love Em,91,20,0.23
zippypaws,All / Zippypaws,89,38,0.32
ezi-lockodour,All / Ezi Lockodour,89,33,0.31
dog>collars-and-leads>collars,All / Dog / Collars And Leads / Collars,89,56,0.38
dog>health>cones,All / Dog / Health / Cones,88,34,0.4
reptile>food,All / Reptile / Food,88,27,0.2
small-pet>feeding-accessories,All / Small Pet / Feeding Accessories,88,47,0.39
dog>food>single-source-protein,All / Dog / Food / Single Source Protein,88,43,0.4
kazoo,All / Kazoo,87,20,0.23
inaba,All / Inaba,87,36,0.25
big-dog,All / Big Dog,86,2,0.03
cat>flea-and-worming>bravecto,All / Cat / Flea And Worming / Bravecto,85,52,0.54
dog>toys>balls,All / Dog / Toys / Balls,84,36,0.27
reptile>heating-and-lighting,All / Reptile / Heating And Lighting,84,29,0.28
interceptor,All / Interceptor,83,36,0.45
dentalife,All / Dentalife,82,22,0.25
natures-cuts,All / Natures Cuts,82,43,0.33
dog>food>hills-science-diet,All / Dog / Food / Hills Science Diet,81,30,0.37
dog>feeding>anti-gulp,All / Dog / Feeding / Anti Gulp,80,34,0.29
yours-droolly,All / Yours Droolly,79,32,0.28
harmony,All / Harmony,79,5,0.04
trilogy,All / Trilogy,79,8,0.1
dog>training-and-clean-up>toilets,All / Dog / Training And Clean Up / Toilets,77,32,0.34
zealandia,All / Zealandia,77,31,0.29
dog>grooming>clippers,All / Dog / Grooming / Clippers,76,39,0.33
dog>toys>kong,All / Dog / Toys / Kong,76,33,0.4
cat>house-and-travel>furniture-protectors,All / Cat / House And Travel / Furniture Protectors,76,35,0.36
advantix,All / Advantix,76,48,0.58
glyde,All / Glyde,76,31,0.4
dog>food>overweight,All / Dog / Food / Overweight,76,34,0.33
cat>food>royal-canin,All / Cat / Food / Royal Canin,75,34,0.3
small-pet>health,All / Small Pet / Health,75,17,0.2
vets-all-natural,All / Vets All Natural,74,21,0.32
dog>collars-and-leads>muzzles,All / Dog / Collars And Leads / Muzzles,74,38,0.49
oz-pet,All / Oz Pet,74,28,0.37
dog>health>digestive-care,All / Dog / Health / Digestive Care,74,40,0.49
dog>house-and-travel>car-seat-covers,All / Dog / House And Travel / Car Seat Covers,74,23,0.27
dog>health>oils,All / Dog / Health / Oils,74,38,0.43
dog>food>meal-toppers,All / Dog / Food / Meal Toppers,73,26,0.28
cat>treats>natural-treats,All / Cat / Treats / Natural Treats,73,20,0.23
malaseb,All / Malaseb,72,17,0.24
cat>health>vitamins-and-supplements,All / Cat / Health / Vitamins And Supplements,72,21,0.12
dog>house-and-travel>water-pools,All / Dog / House And Travel / Water Pools,72,26,0.37
pedigree,All / Pedigree,71,35,0.39
fish>health,All / Fish / Health,71,14,0.13
dog>treats>bully-sticks,All / Dog / Treats / Bully Sticks,70,30,0.34
dog>clothes>clothing-accessories,All / Dog / Clothes / Clothing Accessories,70,21,0.29
dog>food>sensitive-stomach,All / Dog / Food / Sensitive Stomach,70,26,0.26
catsan,All / Catsan,69,29,0.44
dog>beds>puppy,All / Dog / Beds / Puppy,69,16,0.18
dog>training-and-clean-up>treat-bags,All / Dog / Training And Clean Up / Treat Bags,69,26,0.19
tropiclean,All / Tropiclean,68,32,0.43
zamipet,All / Zamipet,67,29,0.38
reptile>tanks-and-terrariums,All / Reptile / Tanks And Terrariums,67,13,0.16
neovet,All / Neovet,67,36,0.51
cat>litter-and-accessories>liners,All / Cat / Litter And Accessories / Liners,67,17,0.19
dog>food>dental-health,All / Dog / Food / Dental Health,66,36,0.44
bird>food>cockatiel-food,All / Bird / Food / Cockatiel Food,66,21,0.27
pidan,All / Pidan,65,27,0.33
fish>feeding,All / Fish / Feeding,65,9,0.08
passwell,All / Passwell,64,4,0.06
bell-and-bone,All / Bell And Bone,63,17,0.27
cat>treats>liquid-and-paste-treats,All / Cat / Treats / Liquid And Paste Treats,62,17,0.27
petsafe,All / Petsafe,62,22,0.31
horse>wormers-and-insect-repellents,All / Horse / Wormers And Insect Repellents,61,25,0.29
credelio-plus,All / Credelio Plus,60,25,0.38
aristopet,All / Aristopet,60,32,0.49
bird>food>budgie-food,All / Bird / Food / Budgie Food,60,11,0.19
dog>food>hypoallergenic,All / Dog / Food / Hypoallergenic,59,16,0.25
cat>food>fancy-feast,All / Cat / Food / Fancy Feast,59,25,0.38
flexi,All / Flexi,59,28,0.36
dog>food>joint-problems,All / Dog / Food / Joint Problems,59,12,0.18
natures-gift,All / Natures Gift,58,19,0.33
schmackos,All / Schmackos,58,9,0.19
cat>health>dental-care,All / Cat / Health / Dental Care,58,23,0.34
small-pet>grooming,All / Small Pet / Grooming,57,14,0.23
cat>flea-and-worming>tablets,All / Cat / Flea And Worming / Tablets,57,32,0.46
dog>toys>rubber,All / Dog / Toys / Rubber,57,7,0.13
dog>flea-and-worming>puppy,All / Dog / Flea And Worming / Puppy,56,21,0.31
aussie-dog,All / Aussie Dog,56,36,0.55
dog>health>hemp,All / Dog / Health / Hemp,55,28,0.39
peckish,All / Peckish,55,6,0.14
farmers-market,All / Farmers Market,55,6,0.12
bird>perches-and-toys>hanging-toys,All / Bird / Perches And Toys / Hanging Toys,55,8,0.16
temptations,All / Temptations,54,6,0.1
tasty-bone,All / Tasty Bone,54,26,0.38
cat>health>joint-care,All / Cat / Health / Joint Care,54,26,0.54
gummi,All / Gummi,53,14,0.28
dog>grooming>nail-clippers,All / Dog / Grooming / Nail Clippers,53,23,0.38
bird>treats,All / Bird / Treats,52,14,0.21
dog>house-and-travel>carriers,All / Dog / House And Travel / Carriers,52,13,0.2
cen,All / Cen,52,13,0.23
dog>beds>calming,All / Dog / Beds / Calming,51,24,0.34
natural-animal-solutions,All / Natural Animal Solutions,51,37,0.56
cat>flea-and-worming>tapeworms,All / Cat / Flea And Worming / Tapeworms,51,20,0.33
dog>food>kidney-problems,All / Dog / Food / Kidney Problems,51,20,0.38
reptile>bedding-and-substrate,All / Reptile / Bedding And Substrate,51,11,0.21
bird>perches-and-toys>activity-toys,All / Bird / Perches And Toys / Activity Toys,51,13,0.23
dog>toys>fetch-toys,All / Dog / Toys / Fetch Toys,50,15,0.26
cat>toys>puzzles,All / Cat / Toys / Puzzles,50,35,0.43
bird>perches-and-toys>perches,All / Bird / Perches And Toys / Perches,49,27,0.36
friskies,All / Friskies,49,10,0.21
la-doggie-vita,All / La Doggie Vita,49,30,0.51
dog>collars-and-leads>gps-trackers,All / Dog / Collars And Leads / Gps Trackers,49,27,0.49
bird>perches-and-toys>foraging-toys,All / Bird / Perches And Toys / Foraging Toys,48,7,0.15
dog>health>omegas,All / Dog / Health / Omegas,47,29,0.56
trill,All / Trill,47,24,0.31
cat>trees-and-scratchers>scratchers,All / Cat / Trees And Scratchers / Scratchers,46,34,0.43
horse>grooming,All / Horse / Grooming,45,6,0.08
beco,All / Beco,45,16,0.3
pet-tek,All / Pet Tek,45,32,0.45
dog>house-and-travel>ramps-and-stairs,All / Dog / House And Travel / Ramps And Stairs,45,22,0.39
dog>feeding>elevated,All / Dog / Feeding / Elevated,45,13,0.3
zeal,All / Zeal,45,7,0.14
fluval,All / Fluval,45,15,0.24
natures-miracle,All / Natures Miracle,45,15,0.29
cat>food>kidney-problems,All / Cat / Food / Kidney Problems,44,3,0.09
cat>toys>tunnels,All / Cat / Toys / Tunnels,44,24,0.42
dog>beds>blankets,All / Dog / Beds / Blankets,44,16,0.21
dermcare,All / Dermcare,43,15,0.35
dog>collars-and-leads>harnesses,All / Dog / Collars And Leads / Harnesses,43,16,0.29
dog>food>senior,All / Dog / Food / Senior,43,18,0.26
nina-ottosson,All / Nina Ottosson,43,22,0.38
stockman-and-paddock,All / Stockman And Paddock,42,16,0.36
go-cat,All / Go Cat,42,22,0.5
burgess,All / Burgess,42,11,0.23
rosewood,All / Rosewood,42,14,0.3
cat>food>urinary-problems,All / Cat / Food / Urinary Problems,42,13,0.27
dog>health>glucosamine,All / Dog / Health / Glucosamine,41,16,0.31
dog>food>dry-or-itchy-skin,All / Dog / Food / Dry Or Itchy Skin,41,15,0.28
cat>flea-and-worming>all-in-one,All / Cat / Flea And Worming / All In One,40,36,0.67
melanie-newman-salon-essentials,All / Melanie Newman Salon Essentials,40,49,0.59
dog>health>green-lipped-mussel,All / Dog / Health / Green Lipped Mussel,40,19,0.37
dog>food>ivory-coat,All / Dog / Food / Ivory Coat,40,11,0.28
dog>grooming>coat-sprays,All / Dog / Grooming / Coat Sprays,40,23,0.36
cat>food>senior,All / Cat / Food / Senior,40,11,0.25
capstar,All / Capstar,40,18,0.38
horse>saddlery-and-accessories,All / Horse / Saddlery And Accessories,40,4,0.11
profender,All / Profender,40,25,0.63
dog>treats>greenies,All / Dog / Treats / Greenies,39,25,0.55
hikari,All / Hikari,39,12,0.29
natures-goodness,All / Natures Goodness,38,12,0.29
dog>health>wound-and-first-aid-care,All / Dog / Health / Wound And First Aid Care,38,24,0.46
cheerble,All / Cheerble,38,18,0.41
catlink,All / Catlink,37,11,0.29
kurgo,All / Kurgo,37,18,0.44
dog>beds>kazoo,All / Dog / Beds / Kazoo,37,11,0.32
dog>training-and-clean-up>clickers,All / Dog / Training And Clean Up / Clickers,37,6,0.19
dog>food>large,All / Dog / Food / Large,37,3,0.1
fidos,All / Fidos,37,10,0.18
tu-meke-friend,All / Tu Meke Friend,36,13,0.32
sure-feed,All / Sure Feed,36,11,0.26
scream,All / Scream,36,10,0.24
meat-mates,All / Meat Mates,36,4,0.1
cat>training-and-clean-up>stain-and-odour-removers,All / Cat / Training And Clean Up / Stain And Odour Removers,36,24,0.35
dog>flea-and-worming>capstar,All / Dog / Flea And Worming / Capstar,36,11,0.29
dog>collars-and-leads>car-restraints,All / Dog / Collars And Leads / Car Restraints,36,5,0.14
meals-for-meows,All / Meals For Meows,35,7,0.13
dog>collars-and-leads>glow-and-light-up,All / Dog / Collars And Leads / Glow And Light Up,35,15,0.4
reptile>feeding-accessories,All / Reptile / Feeding Accessories,35,10,0.22
cat>feeding>replacement-filters,All / Cat / Feeding / Replacement Filters,35,10,0.25
dog>food>open-farm,All / Dog / Food / Open Farm,35,17,0.34
supervite,All / Supervite,35,11,0.36
dog>food>hills-prescription-diet,All / Dog / Food / Hills Prescription Diet,34,22,0.52
cat>food>sensitive-stomach,All / Cat / Food / Sensitive Stomach,34,11,0.34
ruff-play,All / Ruff Play,34,19,0.36
sureflap,All / Sureflap,33,22,0.68
dog>training-and-clean-up>sprays,All / Dog / Training And Clean Up / Sprays,33,9,0.32
wombaroo,All / Wombaroo,32,9,0.28
small-pet,All / Small Pet,32,6,0.19
bird>bedding-and-nesting,All / Bird / Bedding And Nesting,32,6,0.17
bird>perches-and-toys>swing-toys,All / Bird / Perches And Toys / Swing Toys,32,4,0.1
outward-hound,All / Outward Hound,32,5,0.18
ts-pet-products,All / Ts Pet Products,32,7,0.33
dog>feeding>lick-mats,All / Dog / Feeding / Lick Mats,32,9,0.26
cat>house-and-travel>doors,All / Cat / House And Travel / Doors,32,8,0.17
horse>stable-supplies,All / Horse / Stable Supplies,32,1,0.03
arm-and-hammer,All / Arm And Hammer,32,12,0.44
dog>feeding>slow-feeders,All / Dog / Feeding / Slow Feeders,32,23,0.35
cat>grooming>wipes,All / Cat / Grooming / Wipes,32,22,0.48
cat>collars-and-leads>gps-trackers,All / Cat / Collars And Leads / Gps Trackers,31,16,0.48
barastoc,All / Barastoc,31,6,0.19
dog>clothes>coats,All / Dog / Clothes / Coats,31,8,0.22
catlux,All / Catlux,31,5,0.19
small-pet>food>rabbit-food,All / Small Pet / Food / Rabbit Food,31,13,0.32
cat>beds>cooling,All / Cat / Beds / Cooling,31,3,0.1
dog>beds>orthopaedic,All / Dog / Beds / Orthopaedic,31,9,0.25
dog>flea-and-worming>heartgard,All / Dog / Flea And Worming / Heartgard,31,11,0.37
cat>food>overweight,All / Cat / Food / Overweight,31,12,0.29
dog>toys>chew-toys,All / Dog / Toys / Chew Toys,30,13,0.25
pooch-treats,All / Pooch Treats,30,5,0.11
gigwi,All / Gigwi,30,1,0.03
dog-rocks,All / Dog Rocks,30,10,0.34
dog>collars-and-leads>hands-free-leads,All / Dog / Collars And Leads / Hands Free Leads,30,20,0.57
dog>feeding>water-bottles,All / Dog / Feeding / Water Bottles,30,23,0.57
dog>health>dry-or-itchy-skin,All / Dog / Health / Dry Or Itchy Skin,30,16,0.37
tuffy,All / Tuffy,30,10,0.23
dog>food>small,All / Dog / Food / Small,30,11,0.26
heartgard,All / Heartgard,29,5,0.19
cat>treats>dental-treats,All / Cat / Treats / Dental Treats,29,5,0.15
cat>food>hills-prescription-diet,All / Cat / Food / Hills Prescription Diet,29,5,0.18
cat>beds>heating,All / Cat / Beds / Heating,29,7,0.27
dog>flea-and-worming>tick-collars,All / Dog / Flea And Worming / Tick Collars,29,9,0.27
cat>toys>soft-toys,All / Cat / Toys / Soft Toys,29,15,0.25
cat>food>advance,All / Cat / Food / Advance,29,7,0.22
pawfect-pals,All / Pawfect Pals,28,8,0.27
dog>grooming>scissors,All / Dog / Grooming / Scissors,28,7,0.27
cat>toys>teasers,All / Cat / Toys / Teasers,28,5,0.28
dog>clothes>life-jackets,All / Dog / Clothes / Life Jackets,28,13,0.42
dog>beds>outdoors,All / Dog / Beds / Outdoors,27,16,0.42
seachem,All / Seachem,27,18,0.33
cat>litter-and-accessories>clay,All / Cat / Litter And Accessories / Clay,27,11,0.32
cat>flea-and-worming>revolution,All / Cat / Flea And Worming / Revolution,27,13,0.43
dog>clothes>cooling-vests,All / Dog / Clothes / Cooling Vests,26,19,0.55
mog-and-bone,All / Mog And Bone,26,13,0.4
homeopet,All / Homeopet,26,13,0.44
dog>treats>anxiety,All / Dog / Treats / Anxiety,26,9,0.29
reptile>heating-and-lighting>uv-lights,All / Reptile / Heating And Lighting / Uv Lights,26,3,0.11
dog>training-and-clean-up>training-aids,All / Dog / Training And Clean Up / Training Aids,26,7,0.32
dog>collars-and-leads>retractable,All / Dog / Collars And Leads / Retractable,26,11,0.39
dog>health>first-aid-kits,All / Dog / Health / First Aid Kits,26,3,0.1
reptile>health,All / Reptile / Health,26,16,0.36
